A,B,Label
mtr-miR2676a,lcl_Mtruncatula_Medtr1g086180.1,0
gma-miR319a,lcl_Gmax_Glyma.10G087900.1,1
gma-miR5035-5p,lcl_Gmax_Glyma.18G165100.1,0
ath-miR858b,CNT2088589,1
ath-miR394a,CNT2087253,0
mtr-miR5225b,lcl_Mtruncatula_Medtr3g450610.1,1
mtr-miR2662,lcl_Mtruncatula_Medtr8g022770.3,0
gma-miR5037d,lcl_Gmax_Glyma.10G010600.1,1
gma-miR4348b,lcl_Gmax_Glyma.19G119500.1,0
ath-miR2934-5p,NONATHT002389,1
ath-miR169b-3p,NONATHT003489,0
mtr-miR164a,lcl_Mtruncatula_Medtr6g038080.1,1
mtr-miR2635,lcl_Mtruncatula_Medtr5g084410.3,0
gma-miR169i-3p,lcl_Gmax_Glyma.13G284500.1,1
gma-miR1519,lcl_Gmax_Glyma.20G157000.2,0
ath-miR168a-3p,lcl_Athaliana_AT2G11623.2,1
ath-miR8174,lcl_Athaliana_AT4G08016.1,0
mtr-miR5266,lcl_Mtruncatula_Medtr4g078770.4,1
mtr-miR5273,lcl_Mtruncatula_Medtr2g105240.5,0
gma-miR4414b,lcl_Gmax_Glyma.11G196500.2,1
gma-miR9753,lcl_Gmax_Glyma.01G129800.1,0
ath-miR8181,CNT2085961,1
ath-miR5648-5p,CNT2085371,0
mtr-miR399s-5p,lcl_Mtruncatula_Medtr3g108210.1,1
mtr-miR398a-5p,lcl_Mtruncatula_Medtr0105s0070.1,0
gma-miR167e,lcl_Gmax_Glyma.02G114900.1,1
gma-miR5042-5p,lcl_Gmax_Glyma.02G106000.7,0
ath-miR8181,lcl_Athaliana_AT4G08013.1,1
ath-miR167c-5p,CNT2088781,0
mtr-miR168b,lcl_Mtruncatula_Medtr6g036483.1,1
mtr-miR171a,lcl_Mtruncatula_Medtr7g102320.4,0
gma-miR5032,lcl_Gmax_Glyma.15G225700.1,1
gma-miR1520l,lcl_Gmax_Glyma.18G165100.1,0
ath-miR8181,CNT2086579,1
ath-miR5024-5p,lcl_Athaliana_AT1G49440.1,0
mtr-miR5750,lcl_Mtruncatula_Medtr0115s0030.1,1
mtr-miR2088-3p,lcl_Mtruncatula_Medtr2g031430.1,0
gma-miR1517,lcl_Gmax_Glyma.12G037300.2,1
gma-miR5369,lcl_Gmax_Glyma.11G018900.1,0
ath-miR157a-3p,lcl_Athaliana_AT3G18217.1,1
ath-miR842,lcl_Athaliana_AT1G42727.1,0
mtr-miR5283,lcl_Mtruncatula_Medtr5g066220.1,1
mtr-miR5267a,lcl_Mtruncatula_Medtr2g105230.5,0
gma-miR4387b,lcl_Gmax_Glyma.09G007800.1,1
gma-miR1520n,lcl_Gmax_Glyma.11G013200.1,0
ath-miR5638b,CNT2088506,1
ath-miR831-5p,lcl_Athaliana_AT5G42410.1,0
mtr-miR5284h,lcl_Mtruncatula_Medtr0083s0050.1,1
mtr-miR2680a,lcl_Mtruncatula_Medtr6g007970.1,0
gma-miR9760,lcl_Gmax_Glyma.05G084000.1,1
gma-miR398b-5p,lcl_Gmax_Glyma.04G179600.1,0
ath-miR164b-3p,lcl_Athaliana_AT3G48115.1,1
ath-miR846-3p,CNT2087616,0
mtr-miR2111g-3p,lcl_Mtruncatula_Medtr0291s0060.1,1
mtr-miR2638a,lcl_Mtruncatula_Medtr4g106400.1,0
gma-miR169d,lcl_Gmax_Glyma.12G186100.1,1
gma-miR9731,lcl_Gmax_Glyma.15G240200.1,0
ath-miR172c,CNT2086673,1
ath-miR8184,CNT2087566,0
mtr-miR2643a,lcl_Mtruncatula_Medtr2g014370.4,1
mtr-miR1509b,lcl_Mtruncatula_Medtr7g096640.2,0
gma-miR5776,lcl_Gmax_Glyma.02G219600.1,1
gma-miR2109-3p,lcl_Gmax_Glyma.18G290700.3,0
ath-miR169f-3p,NONATHT001910,1
ath-miR827,lcl_Athaliana_AT4G33467.2,0
mtr-miR399b,lcl_Mtruncatula_Medtr8g099205.1,1
mtr-miR5284b,lcl_Mtruncatula_Medtr2g105240.5,0
gma-miR9752,lcl_Gmax_Glyma.04G025200.1,1
gma-miR5380c,lcl_Gmax_Glyma.15G180100.1,0
ath-miR773a,NONATHT002912,1
ath-miR5996,NONATHT001417,0
mtr-miR2592bo-5p,lcl_Mtruncatula_Medtr5g078700.1,1
mtr-miR1509b,lcl_Mtruncatula_Medtr0101s0020.4,0
gma-miR396d,lcl_Gmax_Glyma.19G112000.1,1
gma-miR4409,lcl_Gmax_Glyma.10G256500.2,0
ath-miR167d,NONATHT002929,1
ath-miR866-3p,CNT2088446,0
mtr-miR5741a,lcl_Mtruncatula_Medtr5g018540.1,1
mtr-miR5750,lcl_Mtruncatula_Medtr1g107440.5,0
gma-miR4340,lcl_Gmax_Glyma.02G179200.1,1
gma-miR9722,lcl_Gmax_Glyma.16G092300.1,0
ath-miR8181,NONATHT002557,1
ath-miR5642a,CNT2086549,0
mtr-miR160a,lcl_Mtruncatula_Medtr4g070030.2,1
mtr-miR395g,lcl_Mtruncatula_Medtr0101s0020.3,0
gma-miR1513a-5p,lcl_Gmax_Glyma.03G039000.1,1
gma-miR530a,lcl_Gmax_Glyma.06G038300.1,0
ath-miR8168,CNT2088722,1
ath-miR861-3p,CNT2085893,0
mtr-miR171c,lcl_Mtruncatula_Medtr4g014100.1,1
mtr-miR156d-3p,lcl_Mtruncatula_Medtr4g072130.1,0
gma-miR482e,lcl_Gmax_Glyma.07G009200.1,1
gma-miR4389,lcl_Gmax_Glyma.10G187600.1,0
ath-miR838,lcl_Athaliana_AT1G19396.3,1
ath-miR851-3p,NONATHT001579,0
mtr-miR1507-3p,lcl_Mtruncatula_Medtr4g051508.1,1
mtr-miR1509b,lcl_Mtruncatula_Medtr4g049300.2,0
gma-miR530a,lcl_Gmax_Glyma.12G056700.1,1
gma-miR166h-3p,lcl_Gmax_Glyma.02G160000.1,0
ath-miR2938,CNT2088683,1
ath-miR5648-5p,CNT2086687,0
mtr-miR5298a,lcl_Mtruncatula_Medtr1g116290.1,1
mtr-miR5554a-5p,lcl_Mtruncatula_Medtr7g096640.2,0
gma-miR1524,lcl_Gmax_Glyma.13G141300.1,1
gma-miR167h,lcl_Gmax_Glyma.02G160000.1,0
ath-miR839-5p,lcl_Athaliana_AT5G35490.1,1
ath-miR5999,lcl_Athaliana_AT5G55450.1,0
mtr-miR156g-5p,lcl_Mtruncatula_Medtr2g014570.1,1
mtr-miR2644,lcl_Mtruncatula_Medtr5g081650.3,0
gma-miR4389,lcl_Gmax_Glyma.19G144300.1,1
gma-miR1520p,lcl_Gmax_Glyma.03G198900.1,0
ath-miR8171,lcl_Athaliana_AT1G62075.1,1
ath-miR824-5p,NONATHT000181,0
mtr-miR5562-3p,lcl_Mtruncatula_Medtr7g095490.1,1
mtr-miR7697-3p,lcl_Mtruncatula_Medtr3g466420.1,0
gma-miR168a,lcl_Gmax_Glyma.19G257100.1,1
gma-miR172b-5p,lcl_Gmax_Glyma.03G143300.1,0
ath-miR779.1,CNT2085475,1
ath-miR169g-3p,lcl_Athaliana_AT3G22022.1,0
mtr-miR166g-5p,lcl_Mtruncatula_Medtr5g020880.1,1
mtr-miR172d-5p,lcl_Mtruncatula_Medtr8g043400.3,0
gma-miR10407d,lcl_Gmax_Glyma.14G047600.1,1
gma-miR9737,lcl_Gmax_Glyma.02G143900.2,0
ath-miR156i,lcl_Athaliana_AT3G18217.1,1
ath-miR856,lcl_Athaliana_AT1G47680.1,0
mtr-miR5247,lcl_Mtruncatula_Medtr2g059035.1,1
mtr-miR2597,lcl_Mtruncatula_Medtr8g087480.1,0
gma-miR9748,lcl_Gmax_Glyma.14G086700.1,1
gma-miR319g,lcl_Gmax_Glyma.13G202700.1,0
ath-miR408-5p,CNT2088089,1
ath-miR403-3p,NONATHT001749,0
mtr-miR164d,lcl_Mtruncatula_Medtr5g040060.1,1
mtr-miR171h,lcl_Mtruncatula_Medtr1g107440.2,0
gma-miR9752,lcl_Gmax_Glyma.02G183200.1,1
gma-miR5668,lcl_Gmax_Glyma.02G248900.1,0
ath-miR408-3p,NONATHT002815,1
ath-miR8174,CNT2085785,0
mtr-miR2675,lcl_Mtruncatula_Medtr7g092350.1,1
mtr-miR4414a-5p,lcl_Mtruncatula_Medtr7g078390.1,0
gma-miR5782,lcl_Gmax_Glyma.08G175300.1,1
gma-miR5670a,lcl_Gmax_Glyma.07G051900.1,0
ath-miR2934-5p,CNT2086825,1
ath-miR156i,lcl_Athaliana_AT2G45860.1,0
mtr-miR5556-5p,lcl_Mtruncatula_Medtr5g061260.1,1
mtr-miR2088-5p,lcl_Mtruncatula_Medtr2g031430.1,0
gma-miR5380c,lcl_Gmax_Glyma.11G205800.1,1
gma-miR10442,lcl_Gmax_Glyma.20G107000.1,0
ath-miR8172,CNT2085297,1
ath-miR413,NONATHT003458,0
mtr-miR2600b,lcl_Mtruncatula_Medtr8g106720.1,1
mtr-miR5285a,lcl_Mtruncatula_Medtr4g106400.1,0
gma-miR4995,lcl_Gmax_Glyma.20G246000.1,1
gma-miR172i-3p,lcl_Gmax_Glyma.03G198900.1,0
ath-miR779.1,CNT2086109,1
ath-miR827,CNT2086893,0
mtr-miR2644,lcl_Mtruncatula_Medtr2g022500.1,1
mtr-miR7701-5p,lcl_Mtruncatula_Medtr2g009910.2,0
gma-miR4365,lcl_Gmax_Glyma.U003100.1,1
gma-miR1508a,lcl_Gmax_Glyma.05G010400.1,0
ath-miR414,lcl_Athaliana_AT3G59860.1,1
ath-miR3932a,CNT2085791,0
mtr-miR2673a,lcl_Mtruncatula_Medtr4g052710.1,1
mtr-miR7697-3p,lcl_Mtruncatula_Medtr2g105230.5,0
gma-miR319g,lcl_Gmax_Glyma.01G171500.1,1
gma-miR1531-5p,lcl_Gmax_Glyma.13G315600.1,0
ath-miR170-3p,lcl_Athaliana_AT2G10730.1,1
ath-miR156b-3p,CNT2085650,0
mtr-miR530,lcl_Mtruncatula_Medtr6g024000.1,1
mtr-miR2660,lcl_Mtruncatula_Medtr2g105240.5,0
gma-miR399m,lcl_Gmax_Glyma.17G160200.1,1
gma-miR5675,lcl_Gmax_Glyma.18G210200.1,0
ath-miR774a,CNT2086981,1
ath-miR8171,lcl_Athaliana_AT3G55570.1,0
mtr-miR5206a,lcl_Mtruncatula_Medtr2g451100.1,1
mtr-miR166g-5p,lcl_Mtruncatula_Medtr3g053460.2,0
gma-miR4348d,lcl_Gmax_Glyma.18G156200.1,1
gma-miR5780a,lcl_Gmax_Glyma.01G175700.1,0
ath-miR172c,lcl_Athaliana_AT3G56500.1,1
ath-miR8121,NONATHT000940,0
mtr-miR408-5p,lcl_Mtruncatula_Medtr2g049680.1,1
mtr-miR395g,lcl_Mtruncatula_Medtr2g009910.2,0
gma-miR5037c,lcl_Gmax_Glyma.09G058500.1,1
gma-miR10405a,lcl_Gmax_Glyma.12G173100.1,0
ath-miR168a-3p,CNT2085666,1
ath-miR8178,CNT2089031,0
mtr-miR5284a,lcl_Mtruncatula_Medtr7g035440.1,1
mtr-miR2601,lcl_Mtruncatula_Medtr4g006610.1,0
gma-miR5037a,lcl_Gmax_Glyma.16G153500.1,1
gma-miR4356,lcl_Gmax_Glyma.12G082900.1,0
ath-miR8168,lcl_Athaliana_AT1G28815.1,1
ath-miR844-5p,CNT2088352,0
mtr-miR2673a,lcl_Mtruncatula_Medtr1g070260.1,1
mtr-miR2607,lcl_Mtruncatula_Medtr7g102320.4,0
gma-miR171c-3p,lcl_Gmax_Glyma.12G098500.1,1
gma-miR4402,lcl_Gmax_Glyma.08G328700.1,0
ath-miR167d,lcl_Athaliana_AT5G24655.1,1
ath-miR166a-3p,CNT2086040,0
mtr-miR399t-5p,lcl_Mtruncatula_Medtr3g082450.1,1
mtr-miR408-3p,lcl_Mtruncatula_Medtr4g115740.7,0
gma-miR156a,lcl_Gmax_Glyma.18G293400.2,1
gma-miR1507b,lcl_Gmax_Glyma.02G106000.7,0
ath-miR162a-5p,CNT2087427,1
ath-miR1886.2,CNT2085556,0
mtr-miR5233,lcl_Mtruncatula_Medtr8g041130.1,1
mtr-miR5253,lcl_Mtruncatula_Medtr2g031430.1,0
gma-miR164b,lcl_Gmax_Glyma.16G013700.1,1
gma-miR5670b,lcl_Gmax_Glyma.02G087300.1,0
ath-miR771,CNT2088020,1
ath-miR8170-5p,CNT2085156,0
mtr-miR5290,lcl_Mtruncatula_Medtr7g006440.1,1
mtr-miR2593e,lcl_Mtruncatula_Medtr4g059760.1,0
gma-miR396g,lcl_Gmax_Glyma.11G224300.1,1
gma-miR9756,lcl_Gmax_Glyma.12G132700.1,0
ath-miR8175,lcl_Athaliana_AT4G30450.1,1
ath-miR5998a,CNT2088344,0
mtr-miR172d-5p,lcl_Mtruncatula_Medtr5g040715.1,1
mtr-miR5283,lcl_Mtruncatula_Medtr0101s0020.2,0
gma-miR169l-3p,lcl_Gmax_Glyma.09G189700.1,1
gma-miR172d,lcl_Gmax_Glyma.01G129800.1,0
ath-miR164a,NONATHT002868,1
ath-miR397a,lcl_Athaliana_AT5G44540.1,0
mtr-miR5276,lcl_Mtruncatula_Medtr2g102380.1,1
mtr-miR169a,lcl_Mtruncatula_Medtr0105s0070.1,0
gma-miR160a-3p,lcl_Gmax_Glyma.07G194100.1,1
gma-miR9760,lcl_Gmax_Glyma.10G187600.1,0
ath-miR168a-5p,CNT2085807,1
ath-miR5014a-5p,CNT2088174,0
mtr-miR2663,lcl_Mtruncatula_Medtr7g012550.1,1
mtr-miR7696c-3p,lcl_Mtruncatula_Medtr4g043720.3,0
gma-miR5764b,lcl_Gmax_Glyma.19G204900.1,1
gma-miR4374b,lcl_Gmax_Glyma.15G180100.1,0
ath-miR8169,CNT2088042,1
ath-miR420,CNT2088762,0
mtr-miR5557-3p,lcl_Mtruncatula_Medtr1g106935.1,1
mtr-miR5227,lcl_Mtruncatula_Medtr7g090430.1,0
gma-miR169d,lcl_Gmax_Glyma.16G122900.1,1
gma-miR408a-5p,lcl_Gmax_Glyma.16G002000.1,0
ath-miR156a-5p,lcl_Athaliana_AT2G40085.1,1
ath-miR426,CNT2087155,0
mtr-miR5298b,lcl_Mtruncatula_Medtr2g100480.1,1
mtr-miR5252,lcl_Mtruncatula_Medtr0101s0020.2,0
gma-miR10442,lcl_Gmax_Glyma.20G068000.1,1
gma-miR4348c,lcl_Gmax_Glyma.06G214300.1,0
ath-miR771,CNT2088711,1
ath-miR5648-5p,CNT2087627,0
mtr-miR168a,lcl_Mtruncatula_Medtr7g052025.1,1
mtr-miR2651,lcl_Mtruncatula_Medtr4g049300.2,0
gma-miR319n,lcl_Gmax_Glyma.13G114100.1,1
gma-miR169s-5p,lcl_Gmax_Glyma.10G080700.1,0
ath-miR399e,CNT2087810,1
ath-miR8181,lcl_Athaliana_AT1G32928.1,0
mtr-miR164a,lcl_Mtruncatula_Medtr1728s0010.1,1
mtr-miR7696a-3p,lcl_Mtruncatula_Medtr8g074520.1,0
gma-miR171i-3p,lcl_Gmax_Glyma.04G244500.1,1
gma-miR482c-3p,lcl_Gmax_Glyma.02G248900.1,0
ath-miR8176,CNT2085241,1
ath-miR2936,lcl_Athaliana_AT5G28927.1,0
mtr-miR5270a,lcl_Mtruncatula_Medtr5g007080.1,1
mtr-miR2638a,lcl_Mtruncatula_Medtr7g111640.2,0
gma-miR5036,lcl_Gmax_Glyma.10G188800.1,1
gma-miR4364a,lcl_Gmax_Glyma.15G108500.1,0
ath-miR394b-3p,lcl_Athaliana_AT5G62575.2,1
ath-miR829-5p,CNT2088865,0
mtr-miR5742,lcl_Mtruncatula_Medtr8g062630.1,1
mtr-miR5284h,lcl_Mtruncatula_Medtr1g086180.1,0
gma-miR156k,lcl_Gmax_Glyma.14G146300.1,1
gma-miR10186a,lcl_Gmax_Glyma.15G108500.1,0
ath-miR5020c,lcl_Athaliana_AT2G09790.1,1
ath-miR395a,NONATHT003459,0
mtr-miR2586a,lcl_Mtruncatula_Medtr7g022840.1,1
mtr-miR5214-5p,lcl_Mtruncatula_Medtr6g066100.2,0
gma-miR9750-3p,lcl_Gmax_Glyma.16G004700.3,1
gma-miR482c-5p,lcl_Gmax_Glyma.06G137500.1,0
ath-miR156f-3p,CNT2086078,1
ath-miR163,lcl_Athaliana_AT2G09850.1,0
mtr-miR2600e,lcl_Mtruncatula_Medtr0421s0020.1,1
mtr-miR5555-5p,lcl_Mtruncatula_Medtr8g095630.2,0
gma-miR5042-5p,lcl_Gmax_Glyma.19G075900.1,1
gma-miR396h,lcl_Gmax_Glyma.10G052100.1,0
ath-miR157c-3p,lcl_Athaliana_AT1G30975.1,1
ath-miR838,CNT2088948,0
mtr-miR5213-5p,lcl_Mtruncatula_Medtr4g077720.1,1
mtr-miR2590h,lcl_Mtruncatula_Medtr1g054150.1,0
gma-miR319a,lcl_Gmax_Glyma.16G054000.1,1
gma-miR169e,lcl_Gmax_Glyma.06G247400.1,0
ath-miR8182,lcl_Athaliana_AT3G55515.1,1
ath-miR5997,lcl_Athaliana_AT4G29735.1,0
mtr-miR482-3p,lcl_Mtruncatula_Medtr4g130260.1,1
mtr-miR5261,lcl_Mtruncatula_Medtr7g078390.1,0
gma-miR1523b,lcl_Gmax_Glyma.12G176700.2,1
gma-miR1520l,lcl_Gmax_Glyma.07G197400.1,0
ath-miR319c,CNT2087008,1
ath-miR5650,CNT2084989,0
mtr-miR162,lcl_Mtruncatula_Medtr8g466650.1,1
mtr-miR7701-5p,lcl_Mtruncatula_Medtr7g090430.1,0
gma-miR4416c-5p,lcl_Gmax_Glyma.14G142000.1,1
gma-miR482c-5p,lcl_Gmax_Glyma.20G169700.1,0
ath-miR859,NONATHT000945,1
ath-miR5595a,lcl_Athaliana_AT4G09880.1,0
mtr-miR2592ap,lcl_Mtruncatula_Medtr5g007705.1,1
mtr-miR2644,lcl_Mtruncatula_Medtr6g066100.2,0
gma-miR4363,lcl_Gmax_Glyma.06G089900.1,1
gma-miR9750-5p,lcl_Gmax_Glyma.15G240200.1,0
ath-miR5020c,CNT2088426,1
ath-miR8121,CNT2086420,0
mtr-miR4414a-3p,lcl_Mtruncatula_Medtr0212s0030.1,1
mtr-miR396b-5p,lcl_Mtruncatula_Medtr5g084410.3,0
gma-miR4995,lcl_Gmax_Glyma.20G243800.4,1
gma-miR1520p,lcl_Gmax_Glyma.05G080300.1,0
ath-miR156f-3p,CNT2088926,1
ath-miR829-3p.2,NONATHT002258,0
mtr-miR5209,lcl_Mtruncatula_Medtr7g083135.1,1
mtr-miR5294a,lcl_Mtruncatula_Medtr0016s0040.1,0
gma-miR10201,lcl_Gmax_Glyma.03G226500.1,1
gma-miR4362,lcl_Gmax_Glyma.11G172700.1,0
ath-miR164a,CNT2087839,1
ath-miR5014a-3p,CNT2088150,0
mtr-miR5259,lcl_Mtruncatula_Medtr1g009140.1,1
mtr-miR2592d-5p,lcl_Mtruncatula_Medtr0016s0040.1,0
gma-miR1523b,lcl_Gmax_Glyma.13G371800.2,1
gma-miR5786,lcl_Gmax_Glyma.15G110100.1,0
ath-miR771,NONATHT000503,1
ath-miR831-5p,CNT2088037,0
mtr-miR169j,lcl_Mtruncatula_Medtr5g094190.1,1
mtr-miR5745b,lcl_Mtruncatula_Medtr8g087480.1,0
gma-miR5037d,lcl_Gmax_Glyma.17G093200.1,1
gma-miR394a-3p,lcl_Gmax_Glyma.19G112400.1,0
ath-miR167d,lcl_Athaliana_AT2G33509.1,1
ath-miR5014b,CNT2086971,0
mtr-miR2602a,lcl_Mtruncatula_Medtr7g056543.1,1
mtr-miR319a-5p,lcl_Mtruncatula_Medtr2g031430.1,0
gma-miR167e,lcl_Gmax_Glyma.15G070600.1,1
gma-miR390a-3p,lcl_Gmax_Glyma.10G256500.1,0
ath-miR773a,lcl_Athaliana_AT2G37120.1,1
ath-miR426,NONATHT003004,0
mtr-miR2661,lcl_Mtruncatula_Medtr8g466560.1,1
mtr-miR2601,lcl_Mtruncatula_Medtr7g090430.1,0
gma-miR5034,lcl_Gmax_Glyma.02G266500.1,1
gma-miR1509a,lcl_Gmax_Glyma.03G084100.2,0
ath-miR5653,lcl_Athaliana_AT5G29036.1,1
ath-miR5649a,CNT2086982,0
mtr-miR5233,lcl_Mtruncatula_Medtr4g077420.1,1
mtr-miR5242,lcl_Mtruncatula_Medtr0016s0040.1,0
gma-miR5037d,lcl_Gmax_Glyma.03G107200.1,1
gma-miR4374a,lcl_Gmax_Glyma.14G074200.1,0
ath-miR5638b,NONATHT003192,1
ath-miR2939,lcl_Athaliana_AT5G18850.1,0
mtr-miR168a,lcl_Mtruncatula_Medtr2g020675.1,1
mtr-miR2628,lcl_Mtruncatula_Medtr4g072130.1,0
gma-miR399j,lcl_Gmax_Glyma.15G133000.1,1
gma-miR408a-5p,lcl_Gmax_Glyma.18G290700.3,0
ath-miR773a,lcl_Athaliana_AT4G05070.1,1
ath-miR4221,lcl_Athaliana_AT5G57060.2,0
mtr-miR169j,lcl_Mtruncatula_Medtr1g107025.1,1
mtr-miR408-3p,lcl_Mtruncatula_Medtr4g006610.1,0
gma-miR167g,lcl_Gmax_Glyma.07G138000.1,1
gma-miR4341,lcl_Gmax_Glyma.16G199800.1,0
ath-miR472-3p,lcl_Athaliana_AT1G02710.1,1
ath-miR827,CNT2087309,0
mtr-miR169k,lcl_Mtruncatula_Medtr5g094190.1,1
mtr-miR169f,lcl_Mtruncatula_Medtr4g053180.2,0
gma-miR5776,lcl_Gmax_Glyma.19G136600.3,1
gma-miR5780c,lcl_Gmax_Glyma.07G094000.1,0
ath-miR5643a,CNT2086102,1
ath-miR400,CNT2085544,0
mtr-miR159b,lcl_Mtruncatula_Medtr4g057575.1,1
mtr-miR5290,lcl_Mtruncatula_Medtr1g054150.1,0
gma-miR4412-3p,lcl_Gmax_Glyma.09G280000.1,1
gma-miR10190,lcl_Gmax_Glyma.17G142500.4,0
ath-miR8181,lcl_Athaliana_AT5G35334.1,1
ath-miR400,NONATHT000567,0
mtr-miR159b,lcl_Mtruncatula_Medtr0633s0010.1,1
mtr-miR5223,lcl_Mtruncatula_Medtr4g049300.2,0
gma-miR394b-5p,lcl_Gmax_Glyma.06G043600.1,1
gma-miR4387a,lcl_Gmax_Glyma.17G191700.1,0
ath-miR5665,CNT2087471,1
ath-miR171c-5p,CNT2088657,0
mtr-miR5276,lcl_Mtruncatula_Medtr4g094678.1,1
mtr-miR169e-5p,lcl_Mtruncatula_Medtr2g031430.1,0
gma-miR4414b,lcl_Gmax_Glyma.08G301900.1,1
gma-miR4416a,lcl_Gmax_Glyma.08G202400.1,0
ath-miR171a-3p,CNT2085908,1
ath-miR5026,lcl_Athaliana_AT5G41612.1,0
mtr-miR5226,lcl_Mtruncatula_Medtr7g072740.1,1
mtr-miR5271a,lcl_Mtruncatula_Medtr5g074570.1,0
gma-miR5043,lcl_Gmax_Glyma.02G189900.1,1
gma-miR394b-3p,lcl_Gmax_Glyma.02G310500.1,0
ath-miR399b,NONATHT002557,1
ath-miR844-3p,CNT2088661,0
mtr-miR2119,lcl_Mtruncatula_Medtr1g026630.1,1
mtr-miR2656a,lcl_Mtruncatula_Medtr8g051620.3,0
gma-miR10448,lcl_Gmax_Glyma.14G202800.1,1
gma-miR9760,lcl_Gmax_Glyma.15G240200.1,0
ath-miR5661,CNT2088964,1
ath-miR5017-3p,CNT2087670,0
mtr-miR1510b-3p,lcl_Mtruncatula_Medtr6g061800.1,1
mtr-miR5751,lcl_Mtruncatula_Medtr1g107440.2,0
gma-miR482e,lcl_Gmax_Glyma.12G185300.1,1
gma-miR169s-3p,lcl_Gmax_Glyma.U034900.1,0
ath-miR399d,lcl_Athaliana_AT1G65342.1,1
ath-miR4239,NONATHT001931,0
mtr-miR172d-3p,lcl_Mtruncatula_Medtr7g044880.1,1
mtr-miR395k,lcl_Mtruncatula_Medtr5g081650.3,0
gma-miR171c-3p,lcl_Gmax_Glyma.09G134300.1,1
gma-miR160a-5p,lcl_Gmax_Glyma.18G078100.1,0
ath-miR157c-3p,lcl_Athaliana_AT4G28397.2,1
ath-miR5026,NONATHT003406,0
mtr-miR1510a-5p,lcl_Mtruncatula_Medtr6g075270.1,1
mtr-miR7696c-5p,lcl_Mtruncatula_Medtr5g015470.1,0
gma-miR482b-5p,lcl_Gmax_Glyma.11G191300.1,1
gma-miR2118a-3p,lcl_Gmax_Glyma.04G237800.1,0
ath-miR158a-3p,lcl_Athaliana_AT5G15320.1,1
ath-miR1886.3,lcl_Athaliana_AT1G29580.1,0
mtr-miR169d-3p,lcl_Mtruncatula_Medtr2g012390.1,1
mtr-miR2615a,lcl_Mtruncatula_Medtr2g009910.2,0
gma-miR10196,lcl_Gmax_Glyma.10G233000.1,1
gma-miR4416c-5p,lcl_Gmax_Glyma.16G020900.3,0
ath-miR172e-3p,CNT2086673,1
ath-miR4221,CNT2085237,0
mtr-miR2594,lcl_Mtruncatula_Medtr1g111190.1,1
mtr-miR5272f,lcl_Mtruncatula_Medtr5g084410.2,0
gma-miR9757,lcl_Gmax_Glyma.17G143700.1,1
gma-miR9730,lcl_Gmax_Glyma.19G045000.1,0
ath-miR8181,CNT2088660,1
ath-miR169h,NONATHT003586,0
mtr-miR395g,lcl_Mtruncatula_Medtr6g015685.1,1
mtr-miR5254,lcl_Mtruncatula_Medtr3g053460.2,0
gma-miR159d,lcl_Gmax_Glyma.15G272800.1,1
gma-miR4355,lcl_Gmax_Glyma.08G328700.1,0
ath-miR169f-3p,lcl_Athaliana_AT3G26812.1,1
ath-miR870-5p,CNT2087730,0
mtr-miR2661,lcl_Mtruncatula_Medtr8g062835.1,1
mtr-miR2631,lcl_Mtruncatula_Medtr0105s0070.1,0
gma-miR5036,lcl_Gmax_Glyma.02G300800.1,1
gma-miR9755,lcl_Gmax_Glyma.12G061000.1,0
ath-miR156g,CNT2084853,1
ath-miR5014b,lcl_Athaliana_AT1G31620.1,0
mtr-miR2602a,lcl_Mtruncatula_Medtr3g449460.1,1
mtr-miR168c-3p,lcl_Mtruncatula_Medtr4g043720.3,0
gma-miR319i,lcl_Gmax_Glyma.10G056800.1,1
gma-miR1532,lcl_Gmax_Glyma.06G038300.1,0
ath-miR164c-5p,CNT2088778,1
ath-miR5014a-5p,NONATHT001013,0
mtr-miR7700-5p,lcl_Mtruncatula_Medtr2g090685.1,1
mtr-miR156c-3p,lcl_Mtruncatula_Medtr8g051620.3,0
gma-miR160a-5p,lcl_Gmax_Glyma.06G147700.1,1
gma-miR4382,lcl_Gmax_Glyma.18G290700.4,0
ath-miR159b-5p,CNT2085320,1
ath-miR2939,CNT2086890,0
mtr-miR408-3p,lcl_Mtruncatula_Medtr5g091645.1,1
mtr-miR2620,lcl_Mtruncatula_Medtr4g115740.6,0
gma-miR10448,lcl_Gmax_Glyma.17G243400.1,1
gma-miR319n,lcl_Gmax_Glyma.13G278900.4,0
ath-miR2111a-3p,NONATHT003548,1
ath-miR5631,NONATHT000965,0
mtr-miR5212-5p,lcl_Mtruncatula_Medtr6g472120.1,1
mtr-miR172d-3p,lcl_Mtruncatula_Medtr8g022770.3,0
gma-miR1521b,lcl_Gmax_Glyma.13G007300.1,1
gma-miR4393a,lcl_Gmax_Glyma.18G165100.1,0
ath-miR8176,CNT2086973,1
ath-miR415,lcl_Athaliana_AT2G16535.1,0
mtr-miR319d-3p,lcl_Mtruncatula_Medtr3g077520.1,1
mtr-miR169a,lcl_Mtruncatula_Medtr5g015470.1,0
gma-miR4993,lcl_Gmax_Glyma.12G206100.1,1
gma-miR171i-3p,lcl_Gmax_Glyma.15G240200.1,0
ath-miR837-5p,CNT2085748,1
ath-miR833a-3p,CNT2089052,0
mtr-miR2593e,lcl_Mtruncatula_Medtr1g041065.1,1
mtr-miR5745a,lcl_Mtruncatula_Medtr4g072130.1,0
